Código;Descrição;CódigoMP;Descrição MP;QTD MP;Tipo;Coluna1;OBS
2001038;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ SEM CREMALHEIRA;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001038;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ SEM CREMALHEIRA;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001039;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ SEM CREMALHEIRA;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001039;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ SEM CREMALHEIRA;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001040;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ SEM CREMALHEIRA;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001040;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ SEM CREMALHEIRA;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001041;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ SEM CREMALHEIRA;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001041;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ SEM CREMALHEIRA;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001042;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001042;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001047;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ COM  B. ALUMINIUM EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001047;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ COM  B. ALUMINIUM EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001050;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ COM  B. ALUMINIUM EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001050;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ COM  B. ALUMINIUM EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001052;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ COM  B. ALUMINIUM EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001052;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ COM  B. ALUMINIUM EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001053;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ COM B. ALUMINIUM EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001053;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ COM B. ALUMINIUM EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001071;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001071;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001072;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001072;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001075;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001075;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001076;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001076;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001077;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001077;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001078;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001078;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001079;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001079;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001080;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001080;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001085;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ SEM CREMALHEIRA EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001085;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ SEM CREMALHEIRA EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
