"codigo","descricao","06/2025","07/2025","08/2025","09/2025","10/2025","11/2025","12/2025","01/2026","02/2026","03/2026","04/2026","05/2026","m_06/2025","m_07/2025","m_08/2025","m_09/2025","m_10/2025","m_11/2025","m_12/2025","m_01/2026","m_02/2026","m_03/2026","m_04/2026","m_05/2026","consumo_total_12_meses","media_diaria_12_meses"
"208003","IMÃ DE FERRITE - B40X20X10MM",9454,12224,11974,11048,12086,9624,7344,13484,9762,11472,9180,4388,315,394,386,368,390,321,237,435,349,370,306,142,122040,334
"813331","SUPORTE DE INSTALAÇÃO DO IMÃ DZ",9454,12224,11974,11048,12086,9624,7344,13484,9762,11472,9180,4388,315,394,386,368,390,321,237,435,349,370,306,142,122040,334
"813144","SUPORTE DO IMA DE FIM DE CURSO DESLIZANTE",9254,12124,11974,10946,12078,9624,7344,13484,9762,11472,9180,4388,308,391,386,365,390,321,237,435,349,370,306,142,121630,333
"813235","BUCHA DO EIXO DESLIZANTE SEXTAVADA",9758,12202,11809,10460,11800,9073,7137,12471,9022,10034,8275,3724,325,394,381,349,381,302,230,402,322,324,276,120,115765,317
"201125","GRAMPO 35/18 UNIDADE",14124,3178,14780,17100,13360,9246,7256,10074,4018,6380,8104,4490,471,103,477,570,431,308,234,325,144,206,270,145,112110,307
"103869","TERMINAL FASTON TFF6911",0,0,0,0,30,7140,14616,35280,10584,10584,17734,13608,0,0,0,0,1,238,471,1138,378,341,591,439,109576,300
"401164","PARAFUSO MQ UNC SX RI 1/4 X 1/2 ZI",18214,4784,8980,10800,7768,7966,3410,12392,5868,10600,13156,5460,607,154,290,360,251,266,110,400,210,342,439,176,109398,300
"401095","PARAFUSO MET SXT RI M6-1.00MA X 20 ZI",18208,1848,11748,16176,6312,8888,3984,4412,6392,10192,10036,8328,607,60,379,539,204,296,129,142,228,329,335,269,106524,292
"813608","PERFIL AL 5,0M SOL 7 STLF-0846 6063 T8",0,0,0,0,30,7140,14112,35280,7056,10584,15923,12768,0,0,0,0,1,238,455,1138,252,341,531,412,102893,282
"401142","ARRUELA ONDULADA 4 ONDAS 26X31X0,3",0,0,0,0,30,7140,14112,35280,7056,10584,15923,12768,0,0,0,0,1,238,455,1138,252,341,531,412,102893,282
