Código,Descrição,Família,Consumo V.,Consumo P.,PR,Liberio,Estoque setor,Almoxarifado,Estoque total,Situação,Cobertura,LT,Necessidade,Nº BraZip,Data solic.,Qtd solic.,Fornecedor,Aplicação
501043,GRAXA BRANCA UNILIT NAUTIX SACHE,Lubrificantes,-,1064.5,1865,2000,500,0,500,Fazer pedido,14 dias,20.377291666666377,-6.286169073899821,7163,2026-05-15 00:00:00,3000,,kIt fixação pivo
501084,GRAXA BRANCA SACHE 15G,Lubrificantes,,1272.0833333333333,2230,1201,2670,0,2670,Estoque em dia,2 meses,20.14240162036731,42.825171258767966,,,,,
201125,GRAMPO 35/18 UNIDADE,Parafusos Geral,-,9943.666666666666,17405,30000,18937,0,18937,Estoque em dia,57 dias,20.490706018517084,36.64214236068577,,,,,USADO PARA EMABALR CAIXAS DO PIVÔ
811104,GABARITO DE INSTALAÇÃO LINHA DESLIZANTE BILINGUE,Manuais,-,1170.75,2050,10000,1400,0,1400,Fazer pedido,36 dias,31.82955439815123,4.044885063732181,,,,,INTEGRADO AO MANUAL - SOLICITAR NA MESMA QUANTIDADE DO MANUAL IZZY 
916117,FITA LED 5050 RGB 60 LED S/M IP65 12 V 5M,Parafusos Geral,-,161.95333333333335,285,200,45,800,845,Estoque em dia,5 meses,17.903957047325093,138.6226143930075,,,,,"Montagem da barreira com led (Caso não haja previsão de pedidos da china, pedir nacional)"
105069,FITA EMPACT. 50MT X 48MM ACRI,Embalagem,-,10.542599999999998,20,-,253.1404,56,309.1404,Estoque em dia,29 meses,8.43378472221957,871.2554759914565,,,,,
102572,FILME PLÁSTICO TERMOENCOLHÍVEL GROSSO,Diversos,-,16.625,30,2,50,0,50,Estoque em dia,3 meses,19.101918402775482,71.12364550699895,,,,,
811319,ETIQUETA RESINADA PARA CANCELA LOGO AGL,Etiquetas,-,-,-,400,96,0,96,Interno,,28.979398148148903,0,,,,,"não comprar mais, solicitar pra rodar na gráfica"
811318,ETIQUETA RESINADA PARA CANCELA AGUSTA,Etiquetas,-,-,-,100,-56,0,-56,Interno,,28.979398148148903,0,,,,,"não comprar mais, solicitar pra rodar na gráfica"
811276,ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR,Etiquetas,-,4107.75,7190,2000,39989,96000,135989,Estoque em dia,33 meses,,0,,,,,2500 UNIDADES POR ROLO
811309,ETIQUETA ADES. COUCHE 30MM X 10MM X 03 CAR,Etiquetas,-,82.33333333333333,145,2700,88847,363465,452312,Estoque em dia,5494 meses,,0,,,,,8077 UNIDADES POR ROLO
46293,Etiqueta Ades. Couche 12mm X 12mm X 04 Car Red.. - ET.04,Etiquetas,-,-,-,16000,,111.23,111.23,Almoxarifado,,,0,,,,,uso e consumo
46292,Etiqueta Ades. Couche 12mm X 12mm X 04 Car Red.. - ET.03,Etiquetas,-,-,-,,,111230,111230,Almoxarifado,,,0,,,,,uso e consumo
46291,Etiqueta Ades. Couche 12mm X 12mm X 04 Car Red.. - ET.02,Etiquetas,-,-,-,,,0,0,Almoxarifado,,,0,,,,,uso e consumo
46290,Etiqueta Ades. Couche 12mm X 12mm X 04 Car Red.. - ET.01,Etiquetas,-,-,-,16000,,75846,75846,Almoxarifado,,,0,,,,,uso e consumo
811330,ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR VERMELHA,Etiquetas,-,57.166666666666664,105,200,13393,0,13393,Estoque em dia,234 meses,,0,,,,,442 UNIDADES POR ROLO/1000 UNIDADES POR ROLO
811328,ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR VERDE,Etiquetas,-,217.25,385,2000,7334,0,7334,Estoque em dia,34 meses,13.88010416666657,998.87018352033,,,,,442 UNIDADES POR ROLO/1000 UNIDADES POR ROLO
811329,ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR AZUL,Etiquetas,-,624.0833333333334,1095,4000,4070,0,4070,Estoque em dia,7 meses,28.019201388888177,167.62774746943734,,,,,442 UNIDADES POR ROLO/1000 UNIDADES POR ROLO
811327,ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR AMARELA,Etiquetas,-,272.75,480,2000,7163,5000,12163,Estoque em dia,45 meses,,0,,,,,442 UNIDADES POR ROLO/1000 UNIDADES POR ROLO
811306,ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR,Etiquetas,-,7948,13910,20000,13052.409836,11999.734,25052.143836000003,Estoque em dia,3 meses,36.9237557870365,57.63642477159462,,,,,442 UNIDADES POR ROLO/1000 UNIDADES POR ROLO
811311,ETIQUETA ADES. BOPP FOSCO C/DFAM 50MM X 25MM X 02 CAR,Etiquetas,-,8183,14325,20000,55598,0,55598,Estoque em dia,7 meses,25.127976851852146,178.70191438608018,5856,2025-10-06 00:00:00,30000,,USADA DESCRIÇÃO INTERNA DOS MOTORES (2500 unidades/ rolo)
402039,"ESTICADOR OLHAL COM GANCHO 8MM 5/16"" GALVANIZADO",Parafusos Geral,-,0.16666666666666666,5,50,175,0,175,Estoque em dia,1050 meses,,0,,,,,"PRODUTO NOVO, CANCELA QUE ENTRARÁ EM LINHA DE PRODUÇÃO"
402018,ESPAGUETE LISO 10MMX150MM PRETO (CONSIDERAR ESTOQUE EM METROS) 50m,Diversos,-,350.4624999999998,615,1540,867.95,500,1367.95,Estoque em dia,4 meses,23.896238425924093,93.20188191505396,,,,,Acabamento dos fios do estator BV/PIVO/NEW BV CONVENCIONAL E SPEED
811895,EMBALAGEM PARA MOTOR PIVO ROBÔ AGL,Embalagem,-,1.75,5,100,140,0,140,Estoque em dia,80 meses,114.01995370370423,2285.9800462962958,,,,,Embalagem Pivo Robô
401226,ELO DE EMENDA CORRENTR BV CADENA,Parafusos Geral,-,30.166666666666668,55,500,90,0,90,Estoque em dia,3 meses,18.369319444445136,71.13344298649409,,,,,
811914,DIVISÓRIA DE PAPELÃO DA CAIXA TRINO LOG,Embalagem,-,362.25,635,3500,3300,0,3300,Estoque em dia,9 meses,26.41447916666463,246.8774462991739,5853,2025-10-06 00:00:00,4000,,
402017,CP DE FERRO ZINCADO 3/16 X 1. 1/4,Parafusos Geral,-,3643.75,6380,17,9000,0,9000,Estoque em dia,2 meses,23.813035078348967,50.286450341891175,,,,,Kit Fixação Pivo
401225,"CORRENTE DE ROLO ASA 410 122 ELOS (3098MM) PARA ACIONAMENTO BV CADENA DE 1,5M",Parafusos Geral,-,46.80583333333333,85,300,619,0,619,Estoque em dia,13 meses,23.683975694446417,373.06144421404076,,,,,Acionamento Cadena
411058,"CORDÃO ESPONJOSO 1/8  Ø 3MM + 0,4MM (ANEL DE VEDAÇÃO)",Parafusos Geral,-,266.6766666666666,470,1000,0,1000,1000,Estoque em dia,4 meses,43.35963348765654,69.13614792054067,7134,2026-05-12 00:00:00,1000,,vedação da carcaça de proteção da placa do pivo
102560,CONECTOR ELÉTRICO DE TORÇÃO MODELO P-1,Diversos,-,71.33333333333333,125,100,363,1000,1363,Estoque em dia,19 meses,0.7587384259240935,572.4655606394965,7150,2026-05-14 00:00:00,500,,Montagem elétrica do led da cancela
402042,CHUMBADOR PBJ PARABOLT MQ UNC 3/8X3 ZI,Parafusos Geral,-,286,505,400,1675,0,1675,Estoque em dia,6 meses,16.83464506172782,158.86465563757287,,,,,Kit fixação Cancelas
402024,CHUMBADOR PBJ C/PRISIONEIRO 3/8X110MM ZI,Parafusos Geral,-,130,230,500,1100,0,1100,Estoque em dia,8 meses,25.937349537035818,227.90880430911804,,,,,Kit fixação Strong
916168,CANALETA INCOLOR PARA LED DA CANCELA ( PFL PC LENTE P/LED C.6000MM LEITOSO),Diversos,-,48.53472222222222,85,300,0,0,0,Não usa,0 dias,28.073234953702922,-28.073234953702922,,,,,"será utilizado somente até acabar, depois será utilizado o 916325"
916325,CANALETA FLEXÍVEL PARA LED DA BARREIRA,Diversos,-,346.7083333333333,610,1201,245.5,150,395.5,Fazer pedido,34 dias,28.318371913580147,5.9034764219564515,7012,2026-05-12 00:00:00,1000,,Substituirá o item 916168 assim que o mesmo acabar
811809,CALÇO VINCADO BRAÇO MOTOR,Embalagem,-,13.25,25,6600,0,0,0,Não usa,0 dias,96.17105902777985,-96.17105902777985,,,,,NÃO PEDIR MAIS
811828,"CAIXA PARA CONTROLE REMOTO SEM LOGO 4,0 X 6,20 X 1,6",Embalagem,-,4.166666666666667,10,,0,543,543,Estoque em dia,130 meses,100.85645833333547,3808.7435416666644,,,,,
811760,"CAIXA PARA CONTROLE REMOTO AGL 4,0 X 6,20 X 1,6",Embalagem,-,4842,8475,15000,0,15000,15000,Estoque em dia,3 meses,72.34797453703989,20.588828436937803,,,,,ARMAZENAGEM ALMOXARIFADO
811913,CAIXA MOTOR TRINO LOG (CREMALHEIRA EMBARCADA),Embalagem,-,362.25,635,2500,3520,0,3520,Estoque em dia,10 meses,26.41447916666463,265.09690799689645,5853,2025-10-06 00:00:00,3000,,
811916,CAIXA MOTOR PIVO SIMPLES S/ ACIONAMENTO,Embalagem,-,83.25,150,,1540,0,1540,Estoque em dia,18 meses,20.81219907407649,534.1427558808784,,,,,
811915,CAIXA MOTOR PIVO DUPLO S/ ACIONAMENTO,Embalagem,-,259.8333333333333,455,,1620,0,1620,Estoque em dia,6 meses,24.902588734568173,162.14038753226956,5742,2025-09-17 00:00:00,1500,,
811938,"CAIXA MOTOR LINHA TRINO DOOR LINE 24,0 X 19,5 X 24,5",Embalagem,,-,-,,0,0,0,Fazer pedido,,,0,7146,2026-05-13 00:00:00,1000,,
811846,"CAIXA MOTOR LINHA TRINO AGL 24,0 X 19,5 X 24,5 ARTE TECLAM",Embalagem,-,159.16666666666666,280,1000,480,0,480,Estoque em dia,3 meses,40.588822337960664,49.882381850521014,7146,2026-05-13 00:00:00,1000,,
811744,"CAIXA MOTOR LINHA TRINO AGL 24,0 X 19,5 X 24,5",Embalagem,-,0.16666666666666666,15840,15000,0,0,0,Não usa,0 dias,70.64631283068697,-70.64631283068697,5792,2025-09-25 00:00:00,14000,,
811746,"CAIXA MOTOR KRIPT 24,0 X 19,5 X 24,5",Embalagem,-,22.166666666666668,40,SD,960,0,960,Estoque em dia,43 meses,,0,,,,,
811733,"CAIXA MOTOR BBS 24,0 X 19,5 X 24,5",Embalagem,-,0,0,SD,11520,0,11520,Conferir consumo,,,0,,,,,
811775,"CAIXA MOTOR BASCULANTE NOVA 23,0 X 16,0 X 24,5",Embalagem,-,680,1190,6000,12900,0,12900,Estoque em dia,19 meses,,0,,,,,
811729,"CAIXA MOTOR BASCULANTE AGL 18,9 X 14,1 X 23,4",Embalagem,-,646.8333333333334,1135,4000,5040,0,5040,Estoque em dia,8 meses,,0,,,,,
811801,CAIXA MASTER 7 - CALÇO CABEÇA DO MOTOR PIVÔ ,Embalagem,-,446,785,2000,1408,0,1408,Não usa,3 meses,62.85612037037354,31.852399808998662,,,,,Não serão mais usadas pela mudança do pivo sem acionamento.
811803,"CAIXA MASTER 3 - CAIXA PIVÔ VIOLÃO 1,5 METROS COM IMPRESSÃO",Embalagem,-,7.666666666666667,15,400,659,0,659,Não usa,86 meses,,0,,,,,
811827,CAIXA MASTER 2 - CAIXA PIVÔ VIOLÃO DOOR LINE 1 METRO COM IMPRESSÃO (PISTON CLICK),Embalagem,-,0,0,SD,200,0,200,Conferir consumo,,,0,,,,,
811763,CAIXA MASTER 2 - CAIXA PIVÔ VIOLÃO 1 METRO COM IMPRESSÃO,Embalagem,-,28.25,50,750,962,0,962,Não usa,34 meses,41.03048611111444,980.5624342428679,,,,,
811802,CAIXA MASTER 12 - CAIXA DA CENTRAL PIVÔ,Embalagem,-,581.5833333333334,1020,2000,2643,0,2643,Não usa,5 meses,78.39097222222335,57.94374621881403,,,,,Não serão mais usadas pela mudança do pivo sem acionamento.
811753,CAIXA MASTER 11 - CAIXA PARA CANCELA SEM LOGO,Embalagem,-,29.916666666666668,55,100,0,0,0,Fazer pedido,0 dias,78.63710648148117,-78.63710648148117,,,,,
811742,CAIXA MASTER 11 - CAIXA PARA CANCELA COM LOGO AGL,Embalagem,-,42.75,75,200,500,0,500,Estoque em dia,12 meses,,320.8771929824561,,,,,
811826,CAIXA MASTER 1 - CAIXA PIVÔ VIOLÃO DOOR LINE C/ IMPRESSÃO 50X75 (ARTE PISTON CLICK),Embalagem,-,0,0,SD,420,0,420,Conferir consumo,,,0,,,,,sob demanda
811845,CAIXA MASTER 1 - CAIXA PIVÔ VIOLÃO C/ IMPRESSÃO 50X75  (ARTE TECLAM),Embalagem,-,83.33333333333333,150,SD,570,0,570,Estoque em dia,7 meses,26.812986111111968,178.38701388888805,,,,,
811756,CAIXA MASTER 1 - CAIXA PIVÔ VIOLÃO C/ IMPRESSÃO 50X75,Embalagem,-,326.3333333333333,575,1000,0,0,0,Não usa,0 dias,69.82188271605143,-69.82188271605143,,,,,Serão usadas as embalagens novas
811920,CAIXA EMBALAGEM VINCADA PARA PORTA SOCIAL DZ SLIP SEM ACABAMENTO,Embalagem,,14.5,30,,130,0,130,Estoque em dia,9 meses,74.01131944444205,194.95419779693725,,,,,
811919,CAIXA EMBALAGEM VINCADA PARA PORTA SOCIAL DZ SLIP COM ACABAMENTO DAS PONTAS,Embalagem,,10.666666666666666,20,,260,0,260,Estoque em dia,24 meses,74.01131944444205,657.2386805555581,,,,,
811771,CAIXA DO MOTOR INDUSTRIAL (STRONG 2000),Embalagem,-,32.5,60,150,1020,0,1020,Estoque em dia,31 meses,37.0633101851854,904.4751513532761,5690,2025-09-09 00:00:00,300,,
811851,"CAIXA DO MOTOR BV CADENA 25,6X21,6X32,5",Embalagem,-,13.833333333333334,25,300,210,0,210,Estoque em dia,15 meses,,0,,,,,
103547,CABO PP 3X22 VM/VD/PT,Diversos,-,15.583333333333334,30,100,1034,0,1034,Estoque em dia,66 meses,13.565370370368328,1977.0228649237492,,,,,barreiras (1 metro independente do tamanho de barreira) - estoque acompanhado pelo sistema
402028,BUCHA PLASTICA N10,Parafusos Geral,-,20320.666666666668,35565,35000,34500,0,34500,Fazer pedido,51 dias,33.25545955882177,17.677908768988992,,,,Jomarca,Kit fixação DZ
102574,BOBINA TUBULAR PEBD LEITOSA LISA P/ ACIONAMENTO DE MOTORES,Embalagem,-,25.798628571428555,50,1000,73.44,40.39,113.83,Estoque em dia,4 meses,27.44095775463029,104.92654350789539,7078,2026-05-12 00:00:00,200,,
102573,BOBINA TUBULAR PEBD LEITOSA IMPRESA P/ ACIONAMENTO DE MOTORES,Embalagem,-,276.1007142852699,485,800,51.245145,397.59,448.83514499999995,Fazer pedido,49 dias,21.20633597883716,27.562296818279684,7078,2026-05-12 00:00:00,600,,
105068,"BOBINA LAMINADA 2,00MM PRETA 23 (EVA PARA MOTORES)",Diversos,-,31.214583333333326,55,,0,0,0,Fazer pedido,0 dias,,0,7011,2026-04-16 00:00:00,200,,
47732,BARRA ROSCADA FERRO M10 X 1000,Parafusos Geral,,-,-,-,0,-,-,Estoque em dia,,,0,,,,,
401234,ARRUELA LISA PO 5/16,Parafusos Geral,-,177.33333333333334,315,400,300,0,300,Fazer pedido,51 dias,37.85873842592555,12.893141273322563,,,,,Base regulável dz
801132,ARGOLA DA CHAVE,Molas,-,4117.416666666667,7210,11000,10000,0,10000,Estoque em dia,2 meses,15.979314814813552,56.881904801045906,,,,,Kit de chaves de nylon do deslizante
402023,ANEL ELÁSTICO E-25,Anéis e pinos ,-,68.5,120,500,3000,0,3000,Estoque em dia,44 meses,,1283.8686131386862,,,,,Montagem do rolamento no eixo do industrial
402012,ANEL ELÁSTICO E-20,Anéis e pinos ,-,8864.833333333334,15515,23000,36000,0,36000,Estoque em dia,4 meses,21.211844907406338,100.61785672262994,,,,,"Montagem do eixo principal New BV, BV, Pivo e deslizantes speeds e a cima de 300 kg (eixo antigo)"
402016,ANEL ELASTICO E17,Anéis e pinos ,-,1.6666666666666667,5,0,19000,0,19000,Não usa,11400 meses,,341970,,,,,Reposição para mancal acionamento bv/ pivo antigo (Ø17mm)
402015,ANEL ELASTICO E12,Anéis e pinos ,-,8438.416666666666,14770,25000,44500,0,44500,Estoque em dia,5 meses,30.06673353909557,128.13830097567322,,,,,Montagem do rolamento no eixo do induzido
402034,"ANEL DE RETENÇÃO ORING INTERNO 14MM X 2,6MM",Anéis e pinos ,-,174.91666666666666,310,3000,12220,0,12220,Não usa,70 meses,,2065.8551691281564,,,,,Montagem no encoder do New Bv
402032,"ANEL DE RETENÇÃO ORING 4,47 X 1,78MM",Anéis e pinos ,-,4074.5,7135,20000,20000,0,20000,Não usa,5 meses,21.612633101853135,125.64469908614541,,,,,Montagem na parafuso de fechamento da carcaça do New Bv (está sendo analisado a não utilização desse anel no parafuso)Consumir e não pedir mais
32253,ALL PS 200 AL -T,Lubrificantes,-,-,-,110,,0,0,Fazer pedido,,11.288660300924676,0,,,,,5 LITROS/DIA
34561,ALL HLP 32-T,Diversos,-,-,-,28,,0,0,Fazer pedido,,13.058229166665114,0,,,,,REPOSIÇÃO
41235,ALL CUT 311 PLUS - T,Diversos,-,-,-,39,,0,0,Fazer pedido,,,0,,,,,REPOSIÇÃO
32254,ALL CGLP 68 -T,Lubrificantes,-,-,-,22,,0,0,Fazer pedido,,16.662986111106875,0,,,,,1 LITRO/DIA
202086,AÇO TREFILADO QUAD SAE 1020 H11 A36 5/16'',Barras de aço,-,82.47596666666666,145,,0,0,0,Fazer pedido,0 dias,25.288384259256418,-25.288384259256418,7131,2026-05-12 00:00:00,300,,
202062,AÇO RED TREF SAE 1020 5.00 SAE,Barras de aço,-,121.90995144944681,215,200,163.407089,0,163.407089,Fazer pedido,40 dias,25.8900347222243,14.321716752656997,7131,2026-05-12 00:00:00,300,,"GUIA DO FUSO A CIMA DE 2,5 M"
202058,ACO RED TREF SAE 1020 31.00,Barras de aço,-,216.25411492891,380,1000,6000,0,6000,Estoque em dia,28 meses,,0,,,,,SEM FIM AÇO NEW BV/ DZ
202026,AÇO RED TREF SAE 1020 25.40 SAE J403,Barras de aço,-,21.371820669500533,40,100,0,0,0,Fazer pedido,0 dias,57.0688888888908,-57.0688888888908,,,,,EIXO STRONG
202043,"AÇO RED TREF SAE 1020 15,88",Barras de aço,-,139.22204583333334,245,500,0,0,0,Não usa,0 dias,45.408015046297805,-45.408015046297805,,,,,PINO DA PORCA
202034,AÇO RED TREF SAE 1020 14.29 SAE 403,Barras de aço,-,118.14587770749462,210,500,0,0,0,Não usa,0 dias,57.0688888888908,-57.0688888888908,,,,,"FUSO 5/8"" (Não vai mais usar)"
202033,AÇO RED TREF SAE 1020 12.70,Barras de aço,-,1450.045735390527,2540,5000,6000,0,6000,Estoque em dia,4 meses,27.238275462965248,96.89574018001191,,,,,EIXO INDUZIDO
202045,AÇO RED TREF SAE 1020 12.00,Barras de aço,-,503.6964040658972,885,10000,4000,0,4000,Estoque em dia,8 meses,40.927858796298096,197.3108878601119,,,,,"FUSO 1/2"" (SERÁ SUBSTITUÍDA PELA 202094 BARRA DE 12MM LAMINADA)"
202010,AÇO RED TREF SAE 1010/20 21.00,Barras de aço,-,141.26520595533498,250,1000,2000,0,2000,Estoque em dia,14 meses,,394.7330373692352,,,,,SEM FIM BV/ PIVO
202074,AÇO RED LAMINADO Ø 9/16 6M 1015/1022,Barras de aço,-,1419.1743916666665,2485,,,0,0,Fazer pedido,0 dias,16.000054563490266,-16.000054563490266,,,,,Eixo suggar
202076,AÇO RED LAMINADO 7/8 - 6000MM - 1020,Barras de aço,-,-,-,,,0,0,Não usa,,22.06733796296612,0,,,,,Irá substituir a barra de 12mm trefilada 202045
202091,AÇO RED LAM Ø 9/16 1045,Barras de aço,-,-,-,,4000,0,4000,Fazer pedido,,49.14741898148204,0,,,,,
202090,AÇO RED LAM Ø 5/8 6M 1045,Barras de aço,-,-,-,,1000,0,1000,Fazer pedido,,23.533000000000175,0,,,,,"Pino da porca, usar o 5/8 Trefilado e depois pedir mais"
202073,AÇO RED LAM Ø 5/8 6M 1020,Barras de aço,-,0,0,1000,0,0,0,Conferir consumo,,,0,,,,,
202094,AÇO RED LAM Ø 12MM 6M 1020,Barras de aço,-,1712.8130655607465,3000,,5000,0,5000,Estoque em dia,3 meses,25.40211082175847,62.173120250461594,,,,,
401187,BARRA ROSCADA FERRO MET M14 X 1000MM ZI,Parafusos Geral,,3.6,10,,30,0,30,Estoque em dia,8 meses,17.83202546296161,232.16797453703836,,,,,
811921,CAIXA PARDA MOTOR DESLIZANTE AGL ( MEIA ABA REFORÇADA),Embalagem,,4450.666666666667,7790,,17243,0,17243,Estoque em dia,4 meses,29.90815586419679,86.31937559176487,7185,2026-05-20 00:00:00,5000,,
401035,ARRUELA LISA M10 ZI,Parafusos Geral,,7,15,200,0,0,0,Fazer pedido,0 dias,3.1016203703693463,-3.1016203703693463,,,,,
401032,ARRUELA LISA M8 ZI,Parafusos Geral,,34.833333333333336,65,,500,,500,Estoque em dia,14 meses,,0,,,,,
