Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,541,-14115,-19815,-20619,-31326,-36963,-41685,-43306,-43366,-43366.1,-131001.70370370311,-306275.1111111119,Unnamed: 16,194247,87635.70370370302,262909.11111111066,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Departamento,,Descrição,Seção,,,,,,,,,,,Estoque mínimo,Estoque Máximo,Curva,,Estoque min,Estoque max,,,,,,,,Carteira
FECHADURAS,1001548,FECHADURA AGL- AL100 - 12V PRETA - 42MM A.INT. CH.TETRA. F.CONV.,FECHADURA AGL - AL100,0,-172,-172,-172,-172,-172,-172,-172,-172,-172,-205,-270,B,0,33,98,0,0,0,0,0,0,,0x17
INTERFONIA ,1106046,SENSOR ATIVO DE BARREIRAS 15M,IMPORTADOS,0,-163,-163,-163,-163,-163,-163,-163,-163,-163,-207,-296,B,0,44,133,0,0,0,0,0,0,,
MOTORES,2001018,"CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO PLÁSTICO MOD 4",BARRA DENTADA,0,-156,-356,-356,-441,-441,-441,-441,-441,-441,-2297,-6008,A,894,1856,5567,0,0,0,0,0,0,,
EXPEDIÇÃO,1106344,CÂMERA BULLET ANALÓGICA 2MPX AGL 1225 B,CFTV,0,-147,-147,-147,-147,-147,-147,-147,-147,-147,-359,-783,A,0,212,636,0,0,0,0,0,0,,0x17
FECHADURAS,1011078,"FECHADURA ELETR. AGL ULTRA CARD PRETA MIFARE 13,56 MHZ - AJUST. CH.SIMP. F.ESP.",FECHADURA ULTRA,0,-134,-138,-138,-138,-138,-138,-138,-138,-138,-165,-218,C,1,27,80,0,0,0,0,0,0,,0x17
FECHADURAS,1011077,"FECHADURA ELETR. AGL ULTRA CARD BRANCA MIFARE 13,56 MHZ - AJUST. CH. E-CODE F.ESP.",FECHADURA ULTRA,30,-132,-132,-132,-132,-132,-132,-132,-132,-132,-132,-133,C,0,0,1,0,0,0,0,0,0,,0x17
EXPEDIÇÃO,1106342,CÂMERA BULLET ANALÓGICA 1MPX AGL 1125 B,CFTV,0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-323,-769,A,0,223,669,0,0,0,0,0,0,,0x17
FECHADURAS,1002019,FECHADURA AGL- AL100R - 12V CINZA - AJUST. CH.SIMP. F.ESP.,FECHADURA AGL - AL100R,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-149,-248,B,0,50,149,0,0,0,0,0,0,,0x17
INTERFONIA ,2010077,CENTRAL PARA MOTOR IZZY AGL,CENTRAIS / PLACAS,0,-97,-147,-147,-147,-147,-147,-147,-147,-147,-240,-425,A,32,93,278,0,0,0,0,0,0,,0x17
FECHADURAS,1004280,FECHADURA AGL- MINI - 12V PRETA - AJUST. A. INT. CH.SIMP. F.CONV.,FECHADURA AGL-MINI,0,-93,-93,-93,-93,-93,-93,-93,-93,-93,-109,-142,B,7,16,49,0,0,0,0,0,0,,0x17
