codigo,quantidade,descricao,tamanho,procedimento,data_impressao,total_geral
813189,3,"FUSO P 7.5MM DE 3,0M E 6 ENTRADAS",,,13/05/2026,16
813155,13,"FUSO P 7.5MM DE 3,5M E 6 ENTRADAS",,,13/05/2026,16
