,Departamento,Unnamed: 1,DescriÃ§Ã£o,SeÃ§Ã£o,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Estoque mÃ­nimo,Estoque MÃ¡ximo,Curva,Unnamed: 17,Estoque min,Estoque max,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Carteira
181,MOTORES,2008033,CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO,MOTORES NEW BV,0,0,0,0,-11,-11,-11,-11,-11,-11,-76,-207,A,68,65,196,0,0,0,0,0,0,,0x17
183,MOTORES,2007049,CONJUNTO MOVIMENTADOR TRINO PIVO 3 220V - 1M EX,PIVOTANTES SIMPLES,0,0,0,0,-10,-10,-10,-20,-20,-20,-20,-20,C,0,0,0,0,0,0,0,0,0,,0x17
184,MOTORES,2001222,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA EX,DESLIZANTE TRINO,0,0,0,0,-10,-10,-10,-20,-20,-20,-20,-20,C,0,0,0,0,0,0,0,0,0,,0x17
186,MOTORES,2007038,CONJUNTO MOVIMENTADOR TRINO PIVÃ 3 220V - 1M - DUPLO EX,PIVOTANTES DUPLOS,0,0,0,0,-10,-10,-10,-10,-10,-10,-10,-10,C,0,0,0,0,0,0,0,0,0,,0x17
187,MOTORES,2007044,"CONJUNTO MOVIMENTADOR TRINO PIVÃ 4 220V - 0,75M - DUPLO EX",PIVOTANTES DUPLOS,0,0,0,0,-10,-10,-10,-10,-10,-10,-10,-10,C,0,0,0,0,0,0,0,0,0,,0x17
188,MOTORES,2008026,CONJ. MOVIMENTADOR TRINO NEW BV4 127V SEM ACIONAMENTO,MOTORES NEW BV,0,0,0,0,-7,-7,-7,-7,-7,-7,-38,-100,B,10,31,93,0,0,0,0,0,0,,
191,MOTORES,2005036,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC200 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,0,0,0,0,-6,-6,-6,-6,-6,-6,-69,-194,A,11,63,188,0,0,0,0,0,0,,0x17
196,MOTORES,2008522,"ACIONAMENTO MOVIMENTADOR TRINO BV 2,0M EX",ACIONAMENTOS DE MOTORES,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,C,0,0,0,0,0,0,0,0,0,,0x17
198,MOTORES,2005038,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC400 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,0,0,0,0,-4,-4,-4,-4,-4,-4,-45,-126,A,17,41,122,0,0,0,0,0,0,,
199,MOTORES,2008519,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 3,5M",ACIONAMENTOS DE MOTORES,0,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,C,0,0,0,0,0,0,0,0,0,,0x17
200,MOTORES,2005040,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC600 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,0,0,0,0,-3,-6,-6,-6,-6,-6,-38,-101,A,20,32,95,0,0,0,0,0,0,,0x17
202,MOTORES,2008028,CONJ. MOVIMENTADOR TRINO NEW BV3 127V SEM ACIONAMENTO,MOTORES NEW BV,0,0,0,0,-3,-3,-3,-3,-3,-3,-24,-65,B,26,21,62,0,0,0,0,0,0,,0x17
203,MOTORES,2008510,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 3,0M",ACIONAMENTOS DE MOTORES,0,0,0,0,-3,-3,-3,-3,-3,-3,-5,-8,C,1,2,5,0,0,0,0,0,0,,
204,MOTORES,2007101,CONJUNTO MOVIMENTADOR INTELIGENTE IZZY TRINO PIVÃ 3 220V - 1M - DUPLO EX,PIVOTANTES DUPLOS,0,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,C,0,0,0,0,0,0,0,0,0,,
205,MOTORES,2007100,"CONJUNTO MOVIMENTADOR INTELIGENTE IZZY TRINO PIVÃ 3 220V - 0,75M - DUPLO EX",PIVOTANTES DUPLOS,0,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,C,0,0,0,0,0,0,0,0,0,,
211,MOTORES,2005042,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC800 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,0,0,0,0,-2,-2,-2,-2,-2,-2,-7,-17,B,2,5,15,0,0,0,0,0,0,,
212,MOTORES,2006156,CONJ. MOVIMENTADOR INTELIGENTE DZ INDUSTRIAL IZZY STRONG 1500 KG 220V 50-60 HZ COM CREMALHEIRA 3MT E,DESLIZANTE INTELIGENTE IZZY,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,C,0,0,0,0,0,0,0,0,0,,
216,MOTORES,2001221,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,0,0,-1,-1,-3,-4,-4,-4,-13,-30,A,4,9,26,0,0,0,0,0,0,,0x17
