Unnamed: 0,Unnamed: 1,TOTAL,12,-149,-1453,-2710,-8179,-14410,-14804,-24001,-38015,-44157,-61460,-96075,Unnamed: 15,Unnamed: 16,Unnamed: 17
1015621,"BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,0M",BARREIRAS PARA CANCELAS,,,,,,,,,,-1,-2,-3,,,
Cód,Descrição,Seção,E-comerce / Suporte,Atraso,Hoje,1º Semana 08/02,2º Semana 15/02,3º Semana 22/02,4º Semana 01/03,MARÇO,ABRIL,Estoque Disponível,Estoque mínimo,Estoque Máximo,Situação,Observações,Previsão
2010412,KIT DE INSTALAÇÃO DESLIZANTE COM ÍMÃ E CONTROLES (COM BORNE),REPOSIÇÃO E DIVERSOS -MOTOR,,-110,-110,-110,-110,-110,-110,-110,-110,-110,-111,-112,PROGRAMADO,,
2005712,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 3,30M ANODIZADO",PORTA SOCIAL,,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,ATRASARA,,
2005711,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 2,20M ANODIZADO",PORTA SOCIAL,,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,ATRASARA,,
2005713,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 4,40M ANODIZADO",PORTA SOCIAL,,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,ATRASARA,,
2010047,CAP. PARTIDA 15UF/250VAC,REPOSIÇÃO E DIVERSOS -MOTOR,2,-2,-2,-2,-17,-17,-17,-17,-17,-17,-29,-54,PROGRAMADO,,
2010103,BATENTE MECÂNICO BV/NEW BV/PIVO,REPOSIÇÃO E DIVERSOS -MOTOR,,-2,-2,-2,-3,-3,-3,-3,-3,-3,-5,-8,PROGRAMADO,,
2009007,CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 220V 50-60HZ,PIVOTANTES ROBÔ,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,,
2008532,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 3,0M",ACIONAMENTOS DE MOTORES,,-1,-7,-7,-11,-11,-11,-13,-15,-15,-19,-26,,,
2010030,PARAFUSO JASGAL PLASTIC + 5X12 MM (PROD),REPOSIÇÃO E DIVERSOS -MOTOR,1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-3,PROGRAMADO,,
2010138,BORNE DE ENERGIA CENTRAL MOTOR,REPOSIÇÃO E DIVERSOS -MOTOR,1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-5,-10,PROGRAMADO,,
2010009,PINO DESTRAVAMENTO TRINO,REPOSIÇÃO E DIVERSOS -MOTOR,1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-14,-39,PROGRAMADO,,
2010196,ESTATOR E ROTOR P33 220V MONO 60HZ BV - REPOSIÇÃO,REPOSIÇÃO E DIVERSOS -MOTOR,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,PROGRAMADO,,
2010046,CAP. PARTIDA 30UF/250VAC,REPOSIÇÃO E DIVERSOS -MOTOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-13,-38,PROGRAMADO,,
2005715,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 6,0M ANODIZADO",PORTA SOCIAL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ATRASARA,,
2010181,"SENSOR DE FIM DE CURSO REED DO PIVOTANTE 1,00M",REPOSIÇÃO E DIVERSOS -MOTOR,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-8,PROGRAMADO,,
2005707,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 3,30M PRETO",PORTA SOCIAL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ATRASARA,,
2010173,PROTEÇÃO CENTRAL DUPLA,REPOSIÇÃO E DIVERSOS -MOTOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,-11,PROGRAMADO,,
2010016,TAMPA E BASE PLÁSTICA DA CENTRAL DESLIZANTE,REPOSIÇÃO E DIVERSOS -MOTOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,PROGRAMADO,,
