81082,45965,45965.3104861111,Finalizada,2010540,PARAFUSO MAQ PAN PHILLIPS MA 5X10,MOTORES,100.0,100.0
81096,45965,45979.3727083333,Finalizada,2008514,"ACIONAMENTO MOVIMENTADOR TRINO BV 1,75M",MOTORES,1.0,1.0
81099,45965,46037.6893287037,Finalizada,1015553,TAMPA DA CANCELA,MOTORES,10.0,10.0
81100,45965,46037.6895601852,Finalizada,1015580,CONJ. TAMPA DE ACABAMENTO DA BARREIRA P/ CANCELA AGUSTA,MOTORES,20.0,20.0
81101,45965,46037.6896296296,Finalizada,2010004,ENGRENAGEM INTERNA TRINO LIGHT 300/500 - SEM IMÃ,MOTORES,5.0,5.0
81105,45965,45965.4999305556,Finalizada,813563,"PERFIL AL 1,75M SOL 7 STLF-0864 6063",MOTORES,2.0,2.0
81107,45965,45965.4999884259,Finalizada,813557,"PERFIL AL 0,50M SOL 7 STLF-0864 6063",MOTORES,1.0,1.0
81109,45965,45965.5075462963,Finalizada,813594,"SENSOR DE FIM DE CURSO REED BV/NEW BV 4,5M",MOTORES,200.0,200.0
81110,45965,45965.5074537037,Finalizada,813597,"SENSOR DE FIM DE CURSO REED BV/NEW BV 6,0M",MOTORES,102.0,102.0
81111,45965,45965.5073726852,Finalizada,813455,SENSOR DE FIM DE CURSO REED DESLIZANTE,MOTORES,200.0,200.0
81138,45965,45966.6067939815,Finalizada,2001137,CREMALHEIRA RESIDENCIAL 1 METRO GOMO ALUM MOD 4 EX,MOTORES,405.0,405.0
81144,45965,45974.4622337963,Finalizada,813455,SENSOR DE FIM DE CURSO REED DESLIZANTE,MOTORES,1000.0,1000.0
81151,45966,45966.3347222222,Finalizada,813590,"SENSOR DE FIM DE CURSO REED BV/NEW BV 2,5M",MOTORES,180.0,180.0
81152,45966,45966.335474537,Finalizada,813591,"SENSOR DE FIM DE CURSO REED BV/NEW BV 3,0M",MOTORES,150.0,150.0
81153,45966,45966.336099537,Finalizada,813455,SENSOR DE FIM DE CURSO REED DESLIZANTE,MOTORES,200.0,200.0
81157,45966,45972.4577314815,Finalizada,2003008,"INTER. DIGI. DIGITAL KEY 6P20 433,92 PRETO COM BOTÃO BRANCO AGL",MOTORES,8.0,8.0
81160,45966,45975.3759953704,Finalizada,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,MOTORES,10.0,10.0
81161,45966,46037.6896875,Finalizada,2010324,CREMALHEIRA P/ MOTOR INDUSTRIAL STRONG 2000KG 1M GOMO ALUMÍNIO,MOTORES,5.0,5.0
81162,45966,45974.2570949074,Finalizada,2005039,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC500 - 220V SEM TESTEIRA,MOTORES,1.0,1.0
81165,45966,45967.4481597222,Finalizada,2013504,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 3,5M",MOTORES,3.0,3.0
81167,45966,46037.6897453704,Finalizada,2009504,"ACIONAMENTO MOVIMENTADOR PIVOTANTE 1,5M REPOSIÇÃO",MOTORES,1.0,1.0
81171,45966,45966.4546759259,Finalizada,701155,EIXO PRINCIPAL DO NEW BV - BRUTO,MOTORES,185.0,185.0
81181,45966,46037.6898148148,Finalizada,2001023,"CREMALHEIRA RESIDENCIAL 0,50 METRO GOMO PLÁSTICO MOD 4",MOTORES,834.0,834.0
81183,45966,45967.4472800926,Finalizada,2008543,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 3,5M FUSO Ø 5/8 P/ BV TURBO",MOTORES,3.0,3.0
81184,45966,45966.5903819444,Finalizada,401248,PARAFUSO MAQ PAN PHILLIPS MA 5X10,MOTORES,36000.0,36000.0
81232,45967,46037.6898842593,Finalizada,2010039,TAMPA PRETA PARA MOTOR AGL CONVENCIONAL,MOTORES,50.0,50.0
81233,45967,46037.6899421296,Finalizada,2010014,CRUZETA DO MANCAL,MOTORES,10.0,10.0
81234,45967,46037.69,Finalizada,2010038,CABO DO ENCODER COMPLETO LINHA DESLIZANTE,MOTORES,2.0,2.0
81235,45967,46037.6900578704,Finalizada,2010156,SENSOR DE FIM DE CURSO REED DESLIZANTE,MOTORES,295.0,295.0
