op,data_emissao,data_prevista,status,cod_prod,descricao,setor,qtd_total,qtd_produzida,linha,origem
84932,04/02/2026,,Aberta,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,MOTORES,100,0,Deslizante,manual
123456,04/02/2026,,Aberta,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,MOTORES,100,0,Deslizante,manual
