2009511,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÔ 1,5M",UNIDADE,UN,"AGL MOTORES","35,00","0,00","0,00","0,00","0,00"
2008575,"ACIONAMENTO PARA MOVIMENTADOR BV CADENA 2,5M",UNIDADE,UN,"AGL MOTORES","1,00","0,00","0,00","0,00","0,00"
2008580,"ACIONAMENTO PARA MOVIMENTADOR BV CADENA 3,0M EX",UNIDADE,UN,"AGL MOTORES","10,00","0,00","0,00","0,00","0,00"
2010095,"ACOPLAMENTO DO BV/PIVÔ",UNIDADE,UN,"AGL MOTORES","1,00","0,00","0,00","0,00","0,00"
2010339,"ACOPLAMENTO DO NEW BV 5/8",UNIDADE,UN,"AGL MOTORES","39,00","0,00","0,00","0,00","0,00"
1110116,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 04 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","16,00","0,00","0,00","0,00","0,00"
1110310,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 08 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","8,00","0,00","0,00","0,00","0,00"
1110311,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 12 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","20,00","0,00","0,00","0,00","0,00"
1110312,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 16 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","5,00","0,00","0,00","0,00","0,00"
1110313,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 20 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","31,00","0,00","0,00","0,00","0,00"
1110314,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 24 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","16,00","0,00","0,00","0,00","0,00"
1110315,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 28 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","18,00","0,00","0,00","0,00","0,00"
1110316,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 32 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","32,00","0,00","0,00","0,00","0,00"
1110317,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 36 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","2,00","0,00","0,00","0,00","0,00"
1110318,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 40 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","10,00","0,00","0,00","0,00","0,00"
1110319,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 44 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","2,00","0,00","0,00","0,00","0,00"
1110320,"ACRÍLICO + CARTELA PARA COLETIVO ANALÓGICO 48 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","13,00","0,00","0,00","0,00","0,00"
1110422,"ACRÍLICO + CARTELA PARA COLETIVO S-300 02 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","17,00","0,00","0,00","0,00","0,00"
1110307,"ACRÍLICO + CARTELA PARA COLETIVO S-300 04 PONTOS",UNIDADE,UN,"AGL ELETRONICOS","4,00","0,00","0,00","0,00","0,00"
